feature,feature_type,bin,bin_description,count,bad,good,dist_good,dist_bad,woe,iv_component,bad_rate,total_iv
annual_inc,continuous,0,"[-inf, 34000)",61081,14016,47065,0.09770941178790858,0.11982833425236061,-0.204062282714792,0.004513637809287574,0.22946579132627168,0.03181249094118856
annual_inc,continuous,1,"[34000, 42000)",63406,14265,49141,0.10201925103048962,0.1219570579158171,-0.17850746740667778,0.003559047412743231,0.22497870863956093,0.03181249094118856
annual_inc,continuous,2,"[42000, 50000)",71723,15499,56224,0.11672377480467148,0.13250663623190265,-0.12682248456527187,0.0020016216997508487,0.21609525535741672,0.03181249094118856
annual_inc,continuous,3,"[50000, 56000)",45000,9546,35454,0.07360462207422432,0.08161389740235869,-0.10329173508762904,0.0008272919454375392,0.21213333333333334,0.03181249094118856
annual_inc,continuous,4,"[56000, 65000)",73454,15135,58319,0.12107305862606228,0.12939476710138795,-0.0664737878512717,0.0005531754837489279,0.2060473221335802,0.03181249094118856
annual_inc,continuous,5,"[65000, 73000)",45861,8956,36905,0.07661694227701098,0.07656993370179915,0.0006137415674424327,2.8851116633740213e-08,0.19528575478075053,0.03181249094118856
annual_inc,continuous,6,"[73000, 84000)",58755,11022,47733,0.09909620013764082,0.09423235574477544,0.05032749503303141,0.00024478510452337034,0.18759254531529232,0.03181249094118856
annual_inc,continuous,7,"[84000, 100000)",70184,12218,57966,0.12034021987238641,0.10445706860218087,0.14154673666462145,0.0022482082302481307,0.17408526159808504,0.03181249094118856
annual_inc,continuous,8,"[100000, 125000)",51915,8151,43764,0.09085643522733053,0.06968791543239165,0.2652537028776987,0.0056150282600474005,0.1570066454781855,0.03181249094118856
annual_inc,continuous,9,"[125000, inf)",57268,8157,49111,0.10195697011657949,0.06973920997849904,0.37978814958735996,0.01223592350669098,0.14243556611021863,0.03181249094118856
annual_inc,continuous,__MISSING__,__MISSING__,2,1,1,3.114045695506536e-06,1.2823636526846283e-05,-1.4153673241894646,1.3742637593927896e-05,0.5,0.03181249094118856
dti,continuous,0,"[-inf, 7.72)",59877,8223,51654,0.10723631558569491,0.07030344998568028,0.42221408326083754,0.0155935759915059,0.1373315296357533,0.0784219909235726
dti,continuous,1,"[7.72, 10.91)",59949,8907,51042,0.10596578494192824,0.07615102824192217,0.330397676340899,0.009850726334351254,0.14857628984636942,0.0784219909235726
dti,continuous,2,"[10.91, 13.43)",59817,9405,50412,0.1046578857498155,0.08040847556883514,0.2635772114590837,0.006391591915030316,0.15722955012789006,0.0784219909235726
dti,continuous,3,"[13.43, 15.75)",60090,10226,49864,0.10352022105572377,0.08742727929452901,0.16895961210491386,0.002719057197598436,0.17017806623398235,0.0784219909235726
dti,continuous,4,"[15.75, 18.04)",59779,10897,48882,0.10148155914039883,0.09316371936753824,0.08551872989841779,0.0007113310928735814,0.1822880944813396,0.0784219909235726
dti,continuous,5,"[18.04, 20.42)",59888,11552,48336,0.10034804650723445,0.09876337398426112,0.015917780895934378,2.522447001249695e-05,0.19289340101522842,0.0784219909235726
dti,continuous,6,"[20.42, 23.07)",59702,12462,47240,0.09807271711905101,0.10654304681054787,-0.08283988395363748,0.0007016811286926496,0.20873672573783122,0.0784219909235726
dti,continuous,7,"[23.07, 26.18)",59940,13487,46453,0.09643888114414191,0.11530586510389283,-0.17867884251399055,0.0033711308556583206,0.22500834167500836,0.0784219909235726
dti,continuous,8,"[26.18, 30.22)",59805,14522,45283,0.09400992550164682,0.12415417430741676,-0.2781237673465449,0.008383832041692326,0.24282250647939135,0.0784219909235726
dti,continuous,9,"[30.22, inf)",59800,17284,42516,0.0882655492086691,0.14776676369884972,-0.5152852344488392,0.030660097258563394,0.28903010033444815,0.0784219909235726
dti,continuous,__MISSING__,__MISSING__,2,1,1,3.114045695506536e-06,1.2823636526846283e-05,-1.4153673241894646,1.3742637593927896e-05,0.5,0.0784219909235726
loan_amnt,continuous,0,"[-inf, 5000)",70983,10512,60471,0.12554119743858297,0.08987385600519794,0.3342268839190415,0.011920984384956796,0.1480917966273615,0.039865979424102575
loan_amnt,continuous,1,"[5000, 7000)",51884,7696,44188,0.09173705304176057,0.0657992040660172,0.3323186237191092,0.00861963027385314,0.14833089198982347,0.039865979424102575
loan_amnt,continuous,2,"[7000, 9200)",56918,9146,47772,0.0991775771170668,0.07819559799776865,0.23769859723604456,0.004987387003893148,0.1606873045433782,0.039865979424102575
loan_amnt,continuous,3,"[9200, 10500)",60292,11106,49186,0.10211309638115247,0.09495210289861887,0.07270840263880048,0.000520664397421879,0.18420354275857492,0.039865979424102575
loan_amnt,continuous,4,"[10500, 15000)",128172,26984,101188,0.21007128080193238,0.2306968910698943,-0.09365778350214321,0.0019317489410763595,0.21052960084885936,0.039865979424102575
loan_amnt,continuous,5,"[15000, 28000)",180094,40031,140063,0.29077730017345305,0.3422387887440743,-0.16295102344118642,0.008385702230389654,0.22227836574233456,0.039865979424102575
loan_amnt,continuous,6,"[28000, inf)",50306,11491,38815,0.08058249504605174,0.09824355921842874,-0.19816825069836957,0.0034998621925115994,0.2284220570110921,0.039865979424102575
fico_n,continuous,0,"[-inf, 662)",60473,15356,45117,0.09366540167079106,0.13128467739867147,-0.33763920004613696,0.012701742163076601,0.25393150662279035,0.11305052227949877
fico_n,continuous,1,"[662, 672)",114424,27377,87047,0.1807134493697165,0.23405373981585179,-0.2586381222212585,0.013795832559724963,0.23925924631196252,0.11305052227949877
fico_n,continuous,2,"[672, 677)",49556,11348,38208,0.07932209230871436,0.09701977413204982,-0.2013981333825571,0.0035642800844181716,0.22899346194204537,0.11305052227949877
fico_n,continuous,3,"[677, 682)",47809,10724,37085,0.07699070767799904,0.09168511853365365,-0.17467534677130803,0.002566751311811542,0.22430923047961682,0.11305052227949877
fico_n,continuous,4,"[682, 687)",41208,8598,32610,0.06770046170965438,0.07350967333783587,-0.08232400776674857,0.0004782375831970989,0.2086488060570763,0.11305052227949877
fico_n,continuous,5,"[687, 697)",74815,14637,60178,0.1249325289398947,0.1251378546819297,-0.0016421439852409739,3.371744322979072e-07,0.19564258504310633,0.11305052227949877
fico_n,continuous,6,"[697, 702)",31469,5669,25800,0.05356267957682151,0.04846927871010764,0.09992238042664972,0.000508944739069211,0.1801455400552925,0.11305052227949877
fico_n,continuous,7,"[702, 717)",74236,11831,62405,0.12955585358157148,0.10114900274426995,0.24751738555552333,0.007031189451114603,0.15937011692440325,0.11305052227949877
fico_n,continuous,8,"[717, 737)",53284,6912,46372,0.09627082260716481,0.05909584426909234,0.4880046835419044,0.018141563539548208,0.12971999099166728,0.11305052227949877
fico_n,continuous,9,"[737, inf)",51375,4514,46861,0.09728600255767218,0.03859503637653777,0.9245314433168748,0.05426164367310608,0.08786374695863747,0.11305052227949877
loan_to_income,continuous,0,"[-inf, 0.08)",60166,7174,52992,0.11001404434608673,0.06133545350790577,0.5842499971089661,0.02844046655647577,0.11923677824685038,0.12945308934349417
loan_to_income,continuous,1,"[0.08, 0.115556)",59588,8117,51471,0.10685640201084311,0.06939724633778313,0.43163870724588804,0.01616882152924208,0.1362187017520306,0.12945308934349417
loan_to_income,continuous,2,"[0.115556, 0.145819)",59840,8747,51093,0.10607166249557547,0.07478317367905857,0.3495220181041252,0.010936015754577338,0.146173128342246,0.12945308934349417
loan_to_income,continuous,3,"[0.145819, 0.175)",60558,9667,50891,0.10565230434191392,0.0826483374155243,0.2455588468165386,0.005648827590650029,0.15963208824597905,0.12945308934349417
loan_to_income,continuous,4,"[0.175, 0.204082)",59344,10455,48889,0.10149609135364453,0.08938502113762754,0.12706716956378125,0.0015389194127374908,0.17617619304394716,0.12945308934349417
loan_to_income,continuous,5,"[0.204082, 0.238144)",59693,11418,48275,0.10022140864895052,0.09761779578786285,0.026322014309776678,6.853233498666811e-05,0.19127870939641164,0.12945308934349417
loan_to_income,continuous,6,"[0.238144, 0.275862)",60156,12721,47435,0.09847754305946685,0.10875726138418333,-0.09928990614794521,0.001020672267688412,0.2114668528492586,0.12945308934349417
loan_to_income,continuous,7,"[0.275862, 0.32)",61385,15076,46309,0.09613993275737329,0.128890370731332,-0.29315744071000316,0.009601034578577437,0.2455974586625397,0.12945308934349417
loan_to_income,continuous,8,"[0.32, 0.378378)",58127,15981,42146,0.08749741793711081,0.13662729810252924,-0.44564748322980574,0.021894607447100676,0.27493247544170524,0.12945308934349417
loan_to_income,continuous,9,"[0.378378, inf)",59790,17609,42181,0.0875700790033393,0.1505452182796664,-0.5418241170399583,0.034121449233864336,0.29451413279812677,0.12945308934349417
loan_to_income,continuous,__MISSING__,__MISSING__,2,1,1,3.114045695506536e-06,1.2823636526846283e-05,-1.4153673241894646,1.3742637593927896e-05,0.5,0.12945308934349417
credit_history_months,continuous,0,"[-inf, 101)",60590,13266,47324,0.09824720566009533,0.11341700079506886,-0.14358448965842327,0.002178147292678007,0.21894702096055454,0.01338219892654302
credit_history_months,continuous,1,"[101, 128)",61422,13397,48025,0.0997025045257511,0.1145369365056296,-0.13870656327063982,0.002057633078001019,0.21811403080329522,0.01338219892654302
credit_history_months,continuous,2,"[128, 146)",57693,12412,45281,0.09400587102024548,0.10611604585752024,-0.12117602954491558,0.0014674629038757,0.2151387516683133,0.01338219892654302
credit_history_months,continuous,3,"[146, 164)",62623,12893,49730,0.10324214014050588,0.1102281762146173,-0.06547544216953141,0.00045741380096474206,0.20588282260511315,0.01338219892654302
credit_history_months,continuous,4,"[164, 181)",58014,11388,46626,0.09679813489229543,0.09736173923451112,-0.005805586017864568,3.2720534887751993e-06,0.19629744544420313,0.01338219892654302
credit_history_months,continuous,5,"[181, 203)",61276,11669,49607,0.10298678812841508,0.09976404407930171,0.031792870769792425,0.0001024602850775788,0.19043344865852863,0.01338219892654302
credit_history_months,continuous,6,"[203, 230)",58601,11148,47453,0.09851501386789789,0.09530994861974336,0.03307476375362172,0.00010600677589765411,0.1902356615074828,0.01338219892654302
credit_history_months,continuous,7,"[230, 264)",59654,10732,48922,0.10156470578465729,0.0917535115541459,0.1015903315113062,0.0009967224743994661,0.17990411372246623,0.01338219892654302
credit_history_months,continuous,8,"[264, 324)",59296,10166,49130,0.10199652056933119,0.0869147053543186,0.16001146111338546,0.0024132632887962522,0.17144495412844038,0.01338219892654302
credit_history_months,continuous,9,"[324, inf)",59480,9895,49585,0.10294111541080533,0.08459789178514332,0.1962477832046769,0.003599816973363826,0.16635843981170143,0.01338219892654302
delinq_2yrs,continuous,0,"[-inf, 0)",475210,91661,383549,0.7962670586244731,0.7836493042939278,0.015973026037933685,0.0002015437184620514,0.19288525073125565,0.0013666432030054096
delinq_2yrs,continuous,1,"[0, 1)",80803,16142,64661,0.13424035857495933,0.1380084211426251,-0.02768279220432217,0.000104310493073576,0.19976981052683687,0.0013666432030054096
delinq_2yrs,continuous,2,"[1, inf)",42636,9163,33473,0.0694925828005676,0.07834227456344711,-0.11986733774382015,0.0010607889914697822,0.2149122807017544,0.0013666432030054096
inq_last_6mths,continuous,0,"[-inf, 0)",344646,59879,284767,0.5911903007151977,0.5119306135011286,0.1439488680518117,0.011409342256605911,0.17374059179563958,0.03164182710912661
inq_last_6mths,continuous,1,"[0, 1)",162891,34257,128634,0.26705108110071935,0.2928792490253745,-0.0923204496193799,0.002384468075649009,0.21030627843158922,0.03164182710912661
inq_last_6mths,continuous,2,"[1, 2)",59263,14300,44963,0.09334627401725194,0.12225993434101634,-0.2698334324816306,0.007801872210769283,0.24129726810995056,0.03164182710912661
inq_last_6mths,continuous,3,"[2, inf)",31849,8530,23319,0.04841234416683102,0.07293020313248068,-0.4097480363263934,0.010046144566102408,0.2678263053785048,0.03164182710912661
open_acc,continuous,0,"[-inf, 6)",84718,14470,70248,0.14583817740944346,0.12371015037915381,0.16455630064780427,0.003641306268739084,0.17080195472036638,0.008298407849737528
open_acc,continuous,1,"[6, 7)",44274,7999,36275,0.07530912125691319,0.068388745928478,0.0963929818178092,0.0006670756132062685,0.18067037087229526,0.008298407849737528
open_acc,continuous,2,"[7, 9)",103326,19388,83938,0.17425906395841292,0.1657547597267699,0.05003372031183901,0.00042550197937281625,0.18763912277645511,0.008298407849737528
open_acc,continuous,3,"[9, 10)",52098,10109,41989,0.0871715716397336,0.08642740508331125,0.008573450474601754,6.38007511634201e-06,0.19403815885446657,0.008298407849737528
open_acc,continuous,4,"[10, 11)",48245,9642,38603,0.08014212519307104,0.08243496251207565,-0.028208025893270088,6.46764144635379e-05,0.19985490724427402,0.008298407849737528
open_acc,continuous,5,"[11, 12)",43565,8776,34789,0.07222413678563717,0.07503141804378863,-0.03813263852799049,0.00010704904146349172,0.20144611500057386,0.008298407849737528
open_acc,continuous,6,"[12, 14)",71160,14573,56587,0.11747749580641412,0.12459071051799164,-0.058787258954635484,0.00041816639524943077,0.2047920179876335,0.008298407849737528
open_acc,continuous,7,"[14, 16)",50420,10413,40007,0.08305687498961983,0.08902633986201708,-0.06940666548726447,0.0004143206515364515,0.20652518841729472,0.008298407849737528
open_acc,continuous,8,"[16, 19)",47802,9927,37875,0.07863077344671239,0.08487146386711236,-0.07637477968907987,0.0004766313559657991,0.20766913518262833,0.008298407849737528
open_acc,continuous,9,"[19, inf)",53041,11669,41372,0.08589065951404229,0.09976404407930171,-0.1497327522965165,0.002077300054624305,0.2199996229332026,0.008298407849737528
pub_rec,continuous,0,"[-inf, 0)",490246,93368,396878,0.8239386984634133,0.7982431017162888,0.03168294227428258,0.0008141121084423893,0.19045132443711932,0.004315378604913705
pub_rec,continuous,1,"[0, 1)",89126,19388,69738,0.14478045276524365,0.16575971958022528,-0.13532079122423227,0.002838930984707594,0.21753472611808003,0.004315378604913705
pub_rec,continuous,2,"[1, inf)",19277,4210,15067,0.031280848771343066,0.03599717870348601,-0.14043451609475888,0.0006623355117637214,0.2183949784717539,0.004315378604913705
revol_bal,continuous,0,"[-inf, 23486)",478930,95677,383253,0.7956525485042595,0.8179836279308355,-0.027679727950014308,0.0006181182033577845,0.1997724093291295,0.004354440429884594
revol_bal,continuous,1,"[23486, 33575.2)",59854,11319,48535,0.10076201330954182,0.0967747451215081,0.040375369785021556,0.00016098742752391413,0.18911016807565076,0.004354440429884594
revol_bal,continuous,2,"[33575.2, inf)",59865,9970,49895,0.10358543818619864,0.0852416269476564,0.19490686818073813,0.0035753347990028954,0.16654138478242714,0.004354440429884594
revol_util,continuous,0,"[-inf, 21.9)",59907,9097,50810,0.10548414587435656,0.07777535553532271,0.30473605144614235,0.008443867358266192,0.15185203732451968,0.020038481916009765
revol_util,continuous,1,"[21.9, 32.3)",59897,10100,49797,0.10338112701465782,0.08635009382627393,0.180012530205448,0.0030657993762539426,0.16862280247758651,0.020038481916009765
revol_util,continuous,2,"[32.3, 40.3)",60245,10719,49526,0.10281852275900297,0.09164198116635248,0.11507604290610486,0.0012861521798577125,0.1779234791268985,0.020038481916009765
revol_util,continuous,3,"[40.3, 47.5)",59582,11315,48267,0.10020480040524114,0.09673723941301941,0.03521766489970611,0.0001221194010433573,0.1899063475546306,0.020038481916009765
revol_util,continuous,4,"[47.5, 54.3)",60244,11985,48259,0.10018819216153178,0.10246513039501075,-0.022472210424614343,5.1167835106588956e-05,0.1989409733749419,0.020038481916009765
revol_util,continuous,5,"[54.3, 61)",59402,12080,47322,0.09824295161707203,0.10327729404171102,-0.04997403706980026,0.0002515864149509769,0.20336015622369616,0.020038481916009765
revol_util,continuous,6,"[61, 68.2)",59918,12583,47335,0.09826994001309976,0.10757748682371347,-0.09049321362837542,0.0008422698218889713,0.21000367168463566,0.020038481916009765
revol_util,continuous,7,"[68.2, 76.1)",59969,12795,47174,0.09793569910844872,0.10938989411950774,-0.11060737843813494,0.0012669184822924017,0.21336023612199637,0.020038481916009765
revol_util,continuous,8,"[76.1, 85.9)",59839,13091,46748,0.09705131013092486,0.1119204250608054,-0.1425483191788086,0.002119567340931001,0.2187703671518575,0.020038481916009765
revol_util,continuous,9,"[85.9, inf)",59377,13143,46234,0.09598423047259795,0.11236497779373608,-0.15756839137749643,0.002581088004952969,0.22134833352981795,0.020038481916009765
revol_util,continuous,__MISSING__,__MISSING__,269,58,211,0.00043908044306642155,0.0005001218245470051,-0.13016907994094282,7.945700465651663e-06,0.21561338289962825,0.020038481916009765
total_acc,continuous,0,"[-inf, 12)",72255,14023,58232,0.12089344788964561,0.11989227776946587,0.008315907324118247,8.32563793509102e-06,0.19407653449588264,0.000277207110015534
total_acc,continuous,1,"[12, 42)",471563,91776,379787,0.7884569671641914,0.7846324833821361,0.004862395226002392,1.859615168378953e-05,0.19462086720120111,0.000277207110015534
total_acc,continuous,2,"[42, inf)",54831,11167,43664,0.09064958494616289,0.09547523884839806,-0.05186557624464632,0.0002502853203966535,0.20366216191570463,0.000277207110015534
collections_12_mths_ex_med,continuous,0,"[-inf, 0)",588386,114573,473813,0.9836604495893574,0.9795369634170321,0.004200792247194933,1.7321908744119524e-05,0.19472421165697348,0.0009452365613155493
collections_12_mths_ex_med,continuous,1,"[0, inf)",10263,2393,7870,0.016339550410642664,0.020463036582967845,-0.22503159069603249,0.0009279146525714298,0.23316768975932964,0.0009452365613155493
mths_since_last_major_derog,continuous,0,"[-inf, 50)",105650,21725,83925,0.17423279896031854,0.18573724662089955,-0.06394069235344181,0.0007356023485614835,0.20563180312352106,0.0034563773609971723
mths_since_last_major_derog,continuous,1,"[50, 57)",17571,3649,13922,0.028903684142781813,0.031200574511195275,-0.07646744248364501,0.00017563733213789463,0.20767173183085766,0.0034563773609971723
mths_since_last_major_derog,continuous,2,"[57, 64)",17376,3690,13686,0.028413738410499788,0.0315510947345023,-0.10473551173672759,0.00032859262009486174,0.21236187845303867,0.0034563773609971723
mths_since_last_major_derog,continuous,3,"[64, 72)",18572,4038,14534,0.03017422138073351,0.03452624199574246,-0.13473170926164257,0.000586355176202061,0.2174240792590997,0.0034563773609971723
mths_since_last_major_derog,continuous,4,"[72, inf)",15596,3456,12140,0.025204178655804817,0.029550564679530475,-0.1590930525142891,0.0006914798199199583,0.22159528084124133,0.0034563773609971723
mths_since_last_major_derog,continuous,__MISSING__,__MISSING__,423884,80408,343476,0.7130713784498616,0.6874342774581299,0.03661529688491926,0.0009387100640809129,0.18969340668673504,0.0034563773609971723
acc_open_past_24mths,continuous,0,"[-inf, 1)",79351,10387,68964,0.1431727001427274,0.08880444214566921,0.4776149219808519,0.025967091301499774,0.1308994215573843,0.08674742535240942
acc_open_past_24mths,continuous,1,"[1, 2)",78236,11686,66550,0.13816115219929934,0.09990980631868719,0.32415293121961297,0.012399285890295694,0.1493685771256199,0.08674742535240942
acc_open_past_24mths,continuous,2,"[2, 3)",88432,15109,73323,0.1522221357207733,0.1291735950517438,0.16418367543105525,0.003784194120363417,0.1708544418310114,0.08674742535240942
acc_open_past_24mths,continuous,3,"[3, 4)",84793,16091,68702,0.1426287790320488,0.13756887420332478,0.036120609118663105,0.00018276684449597595,0.18976802330381046,0.08674742535240942
acc_open_past_24mths,continuous,4,"[4, 5)",73298,14988,58310,0.12105462566497989,0.1281391461949808,-0.05687485762495027,0.0004029310964848385,0.2044803405277088,0.08674742535240942
acc_open_past_24mths,continuous,5,"[5, 6)",58316,12869,45447,0.09435059037238874,0.11002346745546954,-0.1536761544888307,0.0024085474799039786,0.22067700116606076,0.08674742535240942
acc_open_past_24mths,continuous,6,"[6, 7)",43521,10298,33223,0.06897314130011678,0.08804356654028152,-0.24411459399350022,0.004655369114786214,0.23662140116265712,0.08674742535240942
acc_open_past_24mths,continuous,7,"[7, 9)",51529,13334,38195,0.07929518619436876,0.11399882876451754,-0.36301075127601157,0.012597795361403886,0.25876690795474394,0.08674742535240942
